num_passengers,trip_type,purchase_lead,length_of_stay,departure_time,flight_day,flight_duration,long_haul,extra_bags,in_flight_meals,preferred_seats
2,RoundTrip,269,19,2:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,213,19,11:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,119,17,13:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,388,21,7:00,Tue,8.83,"long haul",no,yes,no
1,RoundTrip,248,97,20:00,Sun,8.83,"long haul",no,yes,yes
2,RoundTrip,289,23,10:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,58,21,14:00,Mon,8.83,"long haul",yes,no,no
2,RoundTrip,65,23,2:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,225,21,7:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,408,17,5:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,15,29,6:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,120,43,4:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,35,20,2:00,Mon,8.83,"long haul",no,yes,no
2,RoundTrip,33,20,9:00,Tue,8.83,"long haul",yes,yes,yes
2,RoundTrip,153,18,5:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,191,18,8:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,68,19,9:00,Tue,8.83,"long haul",no,yes,no
2,RoundTrip,200,49,5:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,86,17,7:00,Sat,8.83,"long haul",yes,yes,no
2,RoundTrip,89,17,10:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,20,28,6:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,63,24,6:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,213,19,9:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,232,19,7:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,328,23,9:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,36,17,9:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,146,27,10:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,21,30,6:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,360,18,8:00,Tue,8.83,"long haul",no,no,no
3,RoundTrip,12,19,13:00,Sat,8.83,"long haul",yes,yes,yes
7,RoundTrip,88,17,1:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,57,17,22:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,13,26,2:00,Mon,8.83,"long haul",no,yes,no
1,RoundTrip,23,60,8:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,11,28,2:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,111,17,2:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,116,29,8:00,Mon,8.83,"long haul",yes,no,no
4,RoundTrip,236,23,12:00,Thu,8.83,"long haul",no,yes,yes
1,RoundTrip,35,24,7:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,27,77,9:00,Mon,8.83,"long haul",yes,yes,no
4,RoundTrip,213,17,12:00,Thu,8.83,"long haul",yes,yes,yes
2,RoundTrip,314,17,8:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,105,26,12:00,Wed,8.83,"long haul",yes,yes,no
4,RoundTrip,174,27,10:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,3,22,1:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,41,30,3:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,175,19,7:00,Thu,8.83,"long haul",yes,no,no
1,OneWay,35,26,3:00,Sat,8.83,"long haul",yes,yes,yes
2,RoundTrip,200,17,10:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,239,17,11:00,Wed,8.83,"long haul",yes,no,no
4,RoundTrip,32,17,10:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,44,43,3:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,227,19,8:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,43,26,9:00,Fri,8.83,"long haul",no,yes,no
1,RoundTrip,77,17,8:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,123,85,7:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,39,24,15:00,Sun,8.83,"long haul",yes,no,yes
1,RoundTrip,83,19,6:00,Fri,8.83,"long haul",no,no,no
2,RoundTrip,127,20,11:00,Mon,8.83,"long haul",yes,no,no
2,RoundTrip,65,17,12:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,208,35,9:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,226,22,14:00,Wed,8.83,"long haul",yes,yes,yes
2,RoundTrip,271,18,7:00,Sat,8.83,"long haul",yes,no,yes
2,RoundTrip,25,43,4:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,60,17,2:00,Sun,8.83,"long haul",yes,yes,no
4,RoundTrip,165,17,6:00,Sat,8.83,"long haul",yes,yes,yes
2,RoundTrip,390,18,2:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,49,92,1:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,35,17,7:00,Thu,8.83,"long haul",yes,no,no
4,RoundTrip,21,18,11:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,57,89,0:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,108,17,10:00,Sat,8.83,"long haul",yes,no,yes
1,RoundTrip,180,62,8:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,123,17,13:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,111,29,2:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,231,18,10:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,23,19,0:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,5,27,8:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,270,17,11:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,142,18,3:00,Fri,8.83,"long haul",yes,no,yes
4,RoundTrip,236,23,12:00,Thu,8.83,"long haul",no,yes,yes
1,RoundTrip,13,21,2:00,Wed,8.83,"long haul",yes,yes,yes
5,RoundTrip,3,63,2:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,10,17,4:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,10,29,13:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,184,17,13:00,Sat,8.83,"long haul",no,yes,no
2,RoundTrip,19,43,4:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,6,24,5:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,25,29,6:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,15,46,9:00,Sat,8.83,"long haul",yes,yes,yes
2,RoundTrip,34,29,6:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,79,22,21:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,214,20,8:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,57,27,5:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,206,21,8:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,48,17,4:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,180,22,6:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,28,30,6:00,Tue,8.83,"long haul",yes,yes,no
4,RoundTrip,263,21,1:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,36,17,9:00,Mon,8.83,"long haul",no,no,no
3,RoundTrip,63,21,7:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,79,17,0:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,241,18,0:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,25,17,14:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,170,20,11:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,10,29,13:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,64,23,8:00,Mon,7.42,"short to medium haul",no,yes,no
1,RoundTrip,197,20,7:00,Thu,8.83,"long haul",no,yes,yes
1,RoundTrip,129,24,0:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,10,28,2:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,38,21,4:00,Tue,8.83,"long haul",no,no,yes
1,RoundTrip,51,33,1:00,Sat,8.83,"long haul",yes,yes,no
2,RoundTrip,146,21,10:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,4,21,4:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,16,18,6:00,Sat,8.83,"long haul",no,no,no
2,RoundTrip,167,21,20:00,Tue,8.83,"long haul",yes,yes,yes
2,RoundTrip,22,30,8:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,210,31,12:00,Wed,8.83,"long haul",yes,no,yes
1,RoundTrip,77,18,11:00,Sat,8.83,"long haul",no,no,yes
1,RoundTrip,49,26,23:00,Wed,8.83,"long haul",yes,no,yes
2,RoundTrip,40,20,5:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,242,31,8:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,9,20,14:00,Mon,8.83,"long haul",yes,no,no
2,RoundTrip,26,20,7:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,129,24,0:00,Thu,8.83,"long haul",yes,yes,yes
4,RoundTrip,103,18,11:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,313,17,8:00,Fri,8.83,"long haul",no,no,no
2,RoundTrip,20,24,6:00,Sat,8.83,"long haul",yes,yes,yes
1,RoundTrip,18,18,23:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,15,82,1:00,Wed,8.83,"long haul",yes,yes,no
2,RoundTrip,116,17,6:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,8,20,21:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,245,19,5:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,131,32,12:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,38,28,10:00,Sun,8.83,"long haul",no,yes,yes
1,RoundTrip,36,20,23:00,Sun,8.83,"long haul",no,yes,no
1,RoundTrip,56,19,11:00,Wed,8.83,"long haul",no,no,yes
1,RoundTrip,40,54,9:00,Sat,8.83,"long haul",yes,yes,no
2,RoundTrip,52,20,1:00,Wed,8.83,"long haul",yes,yes,no
1,RoundTrip,58,19,22:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,25,30,10:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,61,20,1:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,30,22,1:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,72,17,23:00,Fri,8.83,"long haul",yes,no,yes
1,RoundTrip,21,21,10:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,346,19,0:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,1,20,0:00,Wed,8.83,"long haul",no,yes,no
1,RoundTrip,46,26,7:00,Wed,8.83,"long haul",no,yes,no
2,RoundTrip,159,17,0:00,Sat,8.83,"long haul",yes,no,no
5,RoundTrip,214,17,7:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,16,21,5:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,170,31,23:00,Sun,8.83,"long haul",yes,yes,yes
3,RoundTrip,176,48,7:00,Thu,8.83,"long haul",yes,no,yes
2,RoundTrip,337,17,11:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,241,29,22:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,92,23,7:00,Fri,8.83,"long haul",no,yes,no
1,RoundTrip,106,28,5:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,120,19,9:00,Thu,8.83,"long haul",no,no,yes
2,RoundTrip,69,28,5:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,24,27,8:00,Sat,8.83,"long haul",no,yes,no
1,RoundTrip,25,21,4:00,Sat,8.83,"long haul",yes,yes,no
1,RoundTrip,223,18,2:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,8,20,5:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,133,25,0:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,146,32,0:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,71,23,9:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,68,23,9:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,18,30,4:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,214,31,7:00,Thu,8.83,"long haul",no,no,no
2,RoundTrip,139,24,8:00,Wed,8.83,"long haul",yes,no,yes
2,RoundTrip,122,21,6:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,412,18,4:00,Tue,8.83,"long haul",yes,no,yes
2,RoundTrip,31,19,10:00,Thu,8.83,"long haul",yes,yes,yes
4,RoundTrip,297,19,8:00,Wed,8.83,"long haul",yes,no,yes
2,RoundTrip,250,19,21:00,Tue,8.83,"long haul",no,yes,no
4,RoundTrip,216,19,3:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,110,18,7:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,88,146,14:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,49,22,8:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,77,18,1:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,20,32,4:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,16,19,7:00,Thu,8.83,"long haul",no,no,no
2,RoundTrip,145,27,7:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,20,21,13:00,Thu,8.83,"long haul",no,yes,no
2,RoundTrip,294,17,6:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,113,43,2:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,48,30,13:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,15,47,9:00,Sat,8.83,"long haul",yes,yes,no
2,RoundTrip,75,29,5:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,4,18,9:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,142,18,0:00,Wed,8.83,"long haul",no,no,no
2,RoundTrip,124,28,14:00,Thu,8.83,"long haul",yes,yes,no
2,RoundTrip,139,22,2:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,78,19,10:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,45,19,0:00,Sun,8.83,"long haul",no,no,yes
1,RoundTrip,21,89,1:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,31,28,0:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,7,27,22:00,Fri,8.83,"long haul",yes,no,no
3,RoundTrip,74,19,5:00,Sat,8.83,"long haul",yes,yes,yes
2,RoundTrip,231,22,7:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,90,26,1:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,39,22,10:00,Wed,8.83,"long haul",no,yes,no
4,RoundTrip,133,17,3:00,Tue,8.83,"long haul",yes,no,no
4,RoundTrip,133,17,3:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,93,60,7:00,Thu,8.83,"long haul",no,yes,no
1,RoundTrip,15,17,9:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,65,17,7:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,38,21,3:00,Tue,8.83,"long haul",yes,no,yes
2,RoundTrip,245,17,9:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,18,21,10:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,115,18,10:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,31,29,6:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,42,18,22:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,359,21,13:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,56,34,6:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,47,25,6:00,Thu,8.83,"long haul",yes,no,no
3,RoundTrip,158,17,22:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,19,30,14:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,27,58,4:00,Thu,8.83,"long haul",no,yes,no
2,RoundTrip,391,26,11:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,113,33,21:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,31,30,6:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,75,19,9:00,Tue,8.83,"long haul",yes,yes,yes
2,RoundTrip,137,21,6:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,45,163,10:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,190,29,11:00,Sat,8.83,"long haul",yes,no,yes
2,RoundTrip,291,19,10:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,35,20,6:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,262,103,20:00,Sun,8.83,"long haul",no,no,yes
1,RoundTrip,195,30,19:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,43,31,0:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,80,29,9:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,8,26,7:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,13,17,3:00,Tue,8.83,"long haul",no,yes,no
1,RoundTrip,20,17,4:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,89,39,10:00,Mon,8.83,"long haul",yes,no,yes
2,RoundTrip,154,21,7:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,215,29,4:00,Mon,8.83,"long haul",yes,no,yes
3,RoundTrip,97,51,23:00,Tue,8.83,"long haul",no,yes,no
1,RoundTrip,202,36,8:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,46,21,23:00,Mon,8.83,"long haul",yes,no,no
4,RoundTrip,155,18,2:00,Tue,8.83,"long haul",no,no,yes
1,RoundTrip,8,53,20:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,110,28,11:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,49,17,8:00,Fri,8.83,"long haul",yes,no,yes
2,RoundTrip,272,17,9:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,68,32,7:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,360,58,21:00,Sun,8.83,"long haul",yes,yes,yes
2,RoundTrip,240,30,9:00,Sun,8.83,"long haul",yes,yes,yes
3,RoundTrip,222,22,9:00,Thu,8.83,"long haul",yes,yes,yes
2,RoundTrip,17,17,7:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,32,31,5:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,101,22,7:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,222,17,10:00,Sun,8.83,"long haul",no,yes,yes
2,RoundTrip,320,31,1:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,74,30,9:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,95,168,14:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,43,27,9:00,Wed,8.83,"long haul",yes,no,no
3,RoundTrip,17,27,1:00,Mon,8.83,"long haul",no,no,yes
1,RoundTrip,83,28,9:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,53,30,1:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,6,22,9:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,42,20,12:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,52,18,6:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,50,89,12:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,24,20,4:00,Sat,8.83,"long haul",yes,yes,yes
5,RoundTrip,355,17,20:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,88,22,5:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,257,31,2:00,Sat,8.83,"long haul",no,yes,no
4,RoundTrip,155,20,3:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,14,31,7:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,70,19,14:00,Wed,8.83,"long haul",no,no,no
2,RoundTrip,36,17,4:00,Sat,8.83,"long haul",yes,no,yes
1,RoundTrip,32,21,6:00,Sat,8.83,"long haul",yes,yes,no
1,RoundTrip,244,19,4:00,Sat,8.83,"long haul",yes,yes,yes
6,RoundTrip,388,20,4:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,68,21,21:00,Sat,8.83,"long haul",no,yes,yes
2,RoundTrip,203,21,7:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,88,22,10:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,62,29,12:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,9,23,8:00,Thu,8.83,"long haul",no,no,no
2,RoundTrip,218,17,10:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,83,21,1:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,17,30,3:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,13,28,7:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,87,20,5:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,40,22,11:00,Sat,6.42,"short to medium haul",yes,no,yes
1,RoundTrip,57,24,9:00,Fri,6.42,"short to medium haul",yes,no,no
1,RoundTrip,111,37,12:00,Tue,6.42,"short to medium haul",yes,yes,yes
2,RoundTrip,46,20,6:00,Thu,6.42,"short to medium haul",yes,no,no
1,RoundTrip,38,17,9:00,Wed,6.42,"short to medium haul",yes,no,no
1,RoundTrip,58,24,21:00,Thu,6.42,"short to medium haul",yes,no,no
1,RoundTrip,111,37,12:00,Tue,6.42,"short to medium haul",yes,yes,yes
2,RoundTrip,43,30,5:00,Sun,6.42,"short to medium haul",no,yes,no
1,RoundTrip,33,54,7:00,Thu,6.42,"short to medium haul",yes,yes,yes
8,RoundTrip,52,17,10:00,Wed,6.42,"short to medium haul",yes,no,no
1,RoundTrip,33,31,4:00,Sun,6.42,"short to medium haul",yes,no,yes
2,RoundTrip,172,22,12:00,Fri,6.42,"short to medium haul",yes,no,no
1,RoundTrip,123,40,2:00,Wed,6.42,"short to medium haul",no,no,no
1,RoundTrip,23,60,8:00,Fri,6.42,"short to medium haul",no,no,no
4,RoundTrip,49,27,10:00,Wed,6.42,"short to medium haul",yes,no,no
1,RoundTrip,111,25,16:00,Fri,6.42,"short to medium haul",yes,no,no
1,RoundTrip,52,17,2:00,Mon,6.42,"short to medium haul",yes,yes,no
1,RoundTrip,90,25,17:00,Fri,6.42,"short to medium haul",no,no,no
4,RoundTrip,52,17,13:00,Wed,6.42,"short to medium haul",yes,no,no
2,RoundTrip,66,22,0:00,Sat,6.42,"short to medium haul",no,no,no
1,RoundTrip,314,29,2:00,Mon,5.62,"short to medium haul",yes,no,no
2,RoundTrip,351,19,9:00,Tue,5.62,"short to medium haul",yes,yes,yes
2,RoundTrip,38,18,14:00,Fri,5.62,"short to medium haul",yes,no,no
1,RoundTrip,74,30,6:00,Sun,5.62,"short to medium haul",yes,no,no
1,RoundTrip,29,87,18:00,Wed,5.62,"short to medium haul",yes,no,no
3,RoundTrip,204,20,11:00,Thu,5.62,"short to medium haul",yes,yes,yes
1,RoundTrip,184,18,5:00,Fri,5.62,"short to medium haul",no,no,yes
1,RoundTrip,23,23,15:00,Wed,5.62,"short to medium haul",yes,no,yes
2,RoundTrip,304,19,12:00,Thu,5.62,"short to medium haul",yes,no,no
1,RoundTrip,49,26,7:00,Tue,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,12,89,15:00,Mon,5.62,"short to medium haul",yes,no,no
1,RoundTrip,32,30,3:00,Thu,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,325,19,21:00,Sun,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,59,21,11:00,Wed,5.62,"short to medium haul",yes,yes,yes
1,RoundTrip,46,38,9:00,Fri,5.62,"short to medium haul",yes,yes,yes
2,RoundTrip,181,39,8:00,Sun,5.62,"short to medium haul",yes,no,yes
2,RoundTrip,80,19,15:00,Thu,5.62,"short to medium haul",no,no,no
1,RoundTrip,241,32,12:00,Tue,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,173,75,7:00,Thu,5.62,"short to medium haul",no,no,no
2,RoundTrip,58,30,4:00,Mon,5.62,"short to medium haul",no,no,no
1,RoundTrip,31,18,6:00,Thu,5.62,"short to medium haul",yes,no,no
1,RoundTrip,117,19,13:00,Mon,5.62,"short to medium haul",yes,no,no
4,RoundTrip,247,27,10:00,Thu,5.62,"short to medium haul",yes,no,yes
1,RoundTrip,15,43,10:00,Sun,5.62,"short to medium haul",yes,yes,yes
1,RoundTrip,13,19,3:00,Mon,5.62,"short to medium haul",yes,no,no
1,RoundTrip,325,19,21:00,Sun,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,24,29,8:00,Thu,5.62,"short to medium haul",yes,no,no
2,RoundTrip,106,22,8:00,Wed,5.62,"short to medium haul",yes,no,no
1,RoundTrip,144,36,12:00,Tue,5.62,"short to medium haul",yes,yes,no
2,RoundTrip,112,23,0:00,Thu,5.62,"short to medium haul",yes,no,no
1,RoundTrip,21,24,6:00,Wed,5.62,"short to medium haul",yes,no,no
2,RoundTrip,107,18,2:00,Mon,5.62,"short to medium haul",yes,yes,yes
1,RoundTrip,24,27,1:00,Mon,5.62,"short to medium haul",yes,no,yes
1,RoundTrip,133,29,7:00,Tue,5.62,"short to medium haul",yes,no,no
1,RoundTrip,14,19,6:00,Sun,5.62,"short to medium haul",no,no,no
2,RoundTrip,8,45,6:00,Mon,5.62,"short to medium haul",yes,no,no
1,RoundTrip,41,31,5:00,Tue,5.62,"short to medium haul",yes,no,yes
1,RoundTrip,15,17,11:00,Mon,5.62,"short to medium haul",yes,no,yes
1,RoundTrip,50,22,12:00,Thu,5.62,"short to medium haul",yes,yes,no
2,RoundTrip,158,19,18:00,Tue,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,2,18,8:00,Thu,5.62,"short to medium haul",no,no,no
1,RoundTrip,40,22,7:00,Thu,5.62,"short to medium haul",yes,no,no
2,RoundTrip,211,21,1:00,Mon,5.62,"short to medium haul",yes,no,no
2,RoundTrip,102,23,9:00,Tue,5.62,"short to medium haul",no,no,no
3,RoundTrip,191,18,9:00,Mon,5.62,"short to medium haul",yes,no,no
1,RoundTrip,254,19,3:00,Thu,5.62,"short to medium haul",no,yes,yes
4,RoundTrip,254,18,9:00,Mon,5.62,"short to medium haul",yes,yes,yes
2,RoundTrip,2,17,2:00,Fri,5.62,"short to medium haul",yes,no,no
2,RoundTrip,128,19,11:00,Sun,5.62,"short to medium haul",yes,yes,no
1,RoundTrip,2,48,14:00,Wed,5.62,"short to medium haul",yes,yes,yes
2,RoundTrip,46,19,1:00,Sat,5.62,"short to medium haul",yes,yes,yes
1,RoundTrip,42,17,13:00,Sun,5.62,"short to medium haul",yes,no,no
1,RoundTrip,126,18,13:00,Wed,5.62,"short to medium haul",yes,yes,yes
3,RoundTrip,56,25,6:00,Sun,5.62,"short to medium haul",yes,no,no
1,RoundTrip,42,23,10:00,Thu,5.62,"short to medium haul",yes,no,yes
2,RoundTrip,102,25,3:00,Wed,5.62,"short to medium haul",no,no,no
2,RoundTrip,105,32,14:00,Sat,5.62,"short to medium haul",no,no,no
1,RoundTrip,27,17,0:00,Sat,5.62,"short to medium haul",yes,no,yes
1,RoundTrip,28,22,7:00,Tue,5.62,"short to medium haul",yes,no,no
